,Order Number,Finished Good,Order Size,Item_Number,Quantity,Shared_parts
166,23,1,1,PROC2802,1,.
167,23,1,1,000000000031037296,1,.
168,23,1,1,SP10G00161,1,.
169,23,1,1,PROC8213,2,3
170,23,1,1,SL10F25678,1,.
171,23,1,1,SPP0G54600,1,.
172,23,1,1,PROC8215,2,4
173,23,1,1,SA70K11490,2,2
174,23,1,1,PROC1811,1,.
175,23,1,1,PROC9106,2,2
176,23,1,1,SSW0K51546,2,2
177,23,1,1,SPP0G54610,1,.
178,23,1,1,PROC9203,2,2
179,23,1,1,PROC12008,1,.
180,23,1,1,SSW0N27927,2,4
181,23,1,1,SSW0N29515,1,.
182,23,1,1,SPP0G98370,1,.
183,23,1,1,PROC1811,2,2
184,23,1,1,PROC10224,1,.
185,28,1,3,000000000000008820,1,.
186,28,1,3,SSW0G43707,2,2
187,28,1,3,SSW0G44348,2,3
188,28,1,3,SSW0G44670,1,.
189,28,1,3,SSW0K51133,2,2
190,28,1,3,SSW0K51575,1,.
191,28,1,3,SSW0G44392,2,4
192,28,1,3,000000000031028776,1,.
193,28,1,3,000000000031040179,2,5
194,28,1,3,000000000031503985,1,.
195,28,1,3,PROC10204,2,2
196,28,1,3,000000000031034776,1,.
197,28,1,3,PROC2237,1,.
198,28,1,3,PROC7029,1,.
199,28,1,3,000000000031045548,2,2
200,28,1,3,000000000031045550,2,2
201,28,1,3,000000000031034609,1,.
202,28,1,3,000000000067000739,1,.
203,28,1,3,PROC2802,1,.
204,28,1,3,000000000031037296,1,.
205,28,1,3,SP10G00161,1,.
206,28,1,3,PROC8213,2,3
207,28,1,3,SL10F25678,1,.
208,28,1,3,SPP0G54600,1,.
209,28,1,3,PROC8215,2,4
210,28,1,3,SA70K11490,2,2
211,28,1,3,PROC1811,1,.
212,28,1,3,PROC9106,2,2
213,28,1,3,SSW0K51546,2,2
214,28,1,3,SPP0G54610,1,.
215,28,1,3,PROC9203,2,2
216,28,1,3,PROC12008,1,.
217,28,1,3,SSW0N27927,2,4
218,28,1,3,SSW0N29515,1,.
219,28,1,3,SPP0G98370,1,.
220,28,1,3,PROC1811,2,2
221,28,1,3,PROC10224,1,.
222,32,1,3,000000000000008820,1,.
223,32,1,3,SSW0G43707,2,2
224,32,1,3,SSW0G44348,2,3
225,32,1,3,SSW0G44670,1,.
226,32,1,3,SSW0K51133,2,2
227,32,1,3,SSW0K51575,1,.
228,32,1,3,SSW0G44392,2,4
229,32,1,3,000000000031028776,1,.
230,32,1,3,000000000031040179,2,5
231,32,1,3,000000000031503985,1,.
232,32,1,3,PROC10204,2,2
233,32,1,3,000000000031034776,1,.
234,32,1,3,PROC2237,1,.
235,32,1,3,PROC7029,1,.
236,32,1,3,000000000031045548,2,2
237,32,1,3,000000000031045550,2,2
238,32,1,3,000000000031034609,1,.
239,32,1,3,000000000067000739,1,.
240,32,1,3,PROC2802,1,.
241,32,1,3,000000000031037296,1,.
242,32,1,3,SP10G00161,1,.
243,32,1,3,PROC8213,2,3
244,32,1,3,SL10F25678,1,.
245,32,1,3,SPP0G54600,1,.
246,32,1,3,PROC8215,2,4
247,32,1,3,SA70K11490,2,2
248,32,1,3,PROC1811,1,.
249,32,1,3,PROC9106,2,2
250,32,1,3,SSW0K51546,2,2
251,32,1,3,SPP0G54610,1,.
252,32,1,3,PROC9203,2,2
253,32,1,3,PROC12008,1,.
254,32,1,3,SSW0N27927,2,4
255,32,1,3,SSW0N29515,1,.
256,32,1,3,SPP0G98370,1,.
257,32,1,3,PROC1811,2,2
258,32,1,3,PROC10224,1,.
259,42,1,2,000000000000008820,1,.
260,42,1,2,SSW0G43707,2,2
261,42,1,2,SSW0G44348,2,3
262,42,1,2,SSW0G44670,1,.
263,42,1,2,SSW0K51133,2,2
