"Plant","item_Number","Date","Quantity","FG_new","FGShared"
"1001","PROC10001","21AUG1960","1","5","."
"1001","PROC3420","21AUG1960","2","5","4"
"1001","PROC9321","21AUG1960","2","5","3"
"1001","000000000031503243","21AUG1960","2","5","5"
"1001","000000000031502214","21AUG1960","1","5","."
"1001","PROC7320","21AUG1960","1","5","."
"1001","000000000031034609","21AUG1960","1","5","."
"1001","000000000067000739","21AUG1960","1","5","."
"1001","PROC11611","21AUG1960","2","5","2"
"1001","PROC8211","21AUG1960","1","5","."
"1001","PROC8212","21AUG1960","1","5","."
"1001","SPP0G54600","21AUG1960","1","5","."
"1001","SB20K00972","21AUG1960","2","5","4"
"1001","000000000031503455","21AUG1960","2","5","3"
"1001","000000000031503456","21AUG1960","2","5","3"
"1001","000000000031501055","21AUG1960","1","5","."
"1001","PROC9106","21AUG1960","2","5","5"
"1001","SSW0K52073","21AUG1960","2","5","2"
"1001","SPP0G54610","21AUG1960","1","5","."
"1001","PROC9321","21AUG1960","2","5","4"
"1001","PROC10958","21AUG1960","1","5","."
"1001","SSW0Q44609","21AUG1960","2","5","5"
"1001","PROC3420","21AUG1960","2","5","1"
"1001","000000000067001143","21AUG1960","1","5","."
"1001","PROC1811","21AUG1960","2","5","3"
"1001","SSW0Q43897","21AUG1960","1","5","."
