,Order Number,Finished Good,Order Size,Item_Number,Quantity,qty_on_order,fulfilled_parts
477,60,1,4,SSW0N29515,1,4,True
476,60,1,4,SSW0N27927,2,8,True
475,60,1,4,PROC12008,1,4,True
474,60,1,4,PROC9203,2,8,True
473,60,1,4,SPP0G54610,1,4,True
472,60,1,4,SSW0K51546,2,8,True
464,60,1,4,SP10G00161,1,4,True
463,60,1,4,000000000031037296,1,4,True
462,60,1,4,PROC2802,1,4,True
461,60,1,4,000000000067000739,1,4,True
445,60,1,4,SSW0G43707,2,8,True
446,60,1,4,SSW0G44348,2,8,True
447,60,1,4,SSW0G44670,1,4,True
448,60,1,4,SSW0K51133,2,8,True
449,60,1,4,SSW0K51575,1,4,True
450,60,1,4,SSW0G44392,2,8,True
451,60,1,4,000000000031028776,1,4,True
452,60,1,4,000000000031040179,2,8,True
453,60,1,4,000000000031503985,1,4,True
454,60,1,4,PROC10204,2,8,True
455,60,1,4,000000000031034776,1,4,True
456,60,1,4,PROC2237,1,4,True
457,60,1,4,PROC7029,1,4,True
458,60,1,4,000000000031045548,2,8,True
460,60,1,4,000000000031034609,1,4,True
470,60,1,4,PROC1811,1,4,True
471,60,1,4,PROC9106,2,8,True
459,60,1,4,000000000031045550,2,8,True
492,61,1,4,000000000031034776,1,4,True
514,61,1,4,SSW0N29515,1,4,True
516,61,1,4,PROC1811,2,8,True
517,61,1,4,PROC10224,1,4,True
493,61,1,4,PROC2237,1,4,True
481,61,1,4,000000000000008820,1,4,True
482,61,1,4,SSW0G43707,2,8,True
483,61,1,4,SSW0G44348,2,8,True
484,61,1,4,SSW0G44670,1,4,True
485,61,1,4,SSW0K51133,2,8,True
486,61,1,4,SSW0K51575,1,4,True
487,61,1,4,SSW0G44392,2,8,True
488,61,1,4,000000000031028776,1,4,True
489,61,1,4,000000000031040179,2,8,True
490,61,1,4,000000000031503985,1,4,True
491,61,1,4,PROC10204,2,8,True
513,61,1,4,SSW0N27927,2,8,True
512,61,1,4,PROC12008,1,4,True
515,61,1,4,SPP0G98370,1,4,True
510,61,1,4,SPP0G54610,1,4,True
494,61,1,4,PROC7029,1,4,True
495,61,1,4,000000000031045548,2,8,True
496,61,1,4,000000000031045550,2,8,True
497,61,1,4,000000000031034609,1,4,True
511,61,1,4,PROC9203,2,8,True
499,61,1,4,PROC2802,1,4,True
500,61,1,4,000000000031037296,1,4,True
501,61,1,4,SP10G00161,1,4,True
498,61,1,4,000000000067000739,1,4,True
503,61,1,4,SL10F25678,1,4,True
504,61,1,4,SPP0G54600,1,4,True
505,61,1,4,PROC8215,2,8,True
506,61,1,4,SA70K11490,2,8,True
507,61,1,4,PROC1811,1,4,True
508,61,1,4,PROC9106,2,8,True
509,61,1,4,SSW0K51546,2,8,True
502,61,1,4,PROC8213,2,8,True
1053,62,3,2,SL60K75022,1,2,True
1052,62,3,2,SSW0G44585,2,4,True
1051,62,3,2,SSW0G44351,1,2,True
1047,62,3,2,SSW0G42871,1,2,True
1049,62,3,2,SSW0G44953,1,2,True
1048,62,3,2,SSW0G44836,1,2,True
1054,62,3,2,cdb_49000017,1,2,True
1050,62,3,2,SSW0P20662,1,2,True
1055,62,3,2,SD50H32746,1,2,True
1060,62,3,2,PROC7109,1,2,True
1057,62,3,2,000000000031045549,1,2,True
1076,62,3,2,SSW0L97271,2,4,True
1075,62,3,2,PROC10338,2,4,True
1056,62,3,2,PROC13209,2,4,True
1073,62,3,2,000000000067001143,1,2,True
1072,62,3,2,SPP0H55684,2,4,True
1071,62,3,2,SPP0H55681,1,2,True
1070,62,3,2,SPP0K08480,1,2,True
1069,62,3,2,PROC3410,1,2,True
1068,62,3,2,SSW0K51935,2,4,True
1074,62,3,2,SSW0N28641,2,4,True
1066,62,3,2,PROC9107,1,2,True
1065,62,3,2,SPP0G54625,2,4,True
1064,62,3,2,000000000031501056,2,4,True
1063,62,3,2,cdb_04000018,2,4,True
1062,62,3,2,000000000031028400,2,4,True
1061,62,3,2,PROC7033,1,2,True
1059,62,3,2,SPP0H55681,1,2,True
1058,62,3,2,PROC7320,1,2,True
1067,62,3,2,SPP0G99675,2,4,True
2949,63,5,1,PROC8212,1,1,True
2950,63,5,1,SB20K00972,2,2,True
2951,63,5,1,000000000031501055,1,1,True
2952,63,5,1,SSW0K51614,1,1,True
2953,63,5,1,SSW0K51686,1,1,True
2954,63,5,1,SSW0K52073,2,2,True
2955,63,5,1,PROC10806,2,2,True
2959,63,5,1,SSW0N29425,1,1,True
2957,63,5,1,SSW0N26852,1,1,True
2958,63,5,1,SSW0N27719,2,2,True
2960,63,5,1,000000000067000739,1,1,True
2961,63,5,1,SPP0G98255,1,1,True
2962,63,5,1,SSW0Q43897,1,1,True
2947,63,5,1,000000000144002367,1,1,True
2956,63,5,1,PROC11105,2,2,True
2946,63,5,1,000000000031045785,1,1,True
2948,63,5,1,PROC8219,2,2,True
2944,63,5,1,000000000031045784,2,2,True
2943,63,5,1,SM50F76959,2,2,True
2945,63,5,1,000000000031506282,1,1,True
2942,63,5,1,000000000025216222,1,1,True
2941,63,5,1,PROC6222,2,2,True
2940,63,5,1,PROC11021,1,1,True
2939,63,5,1,SD50H32698,2,2,True
2938,63,5,1,SSW0K51574,1,1,True
2973,64,5,1,PROC8219,2,2,True
2974,64,5,1,PROC8212,1,1,True
2975,64,5,1,SB20K00972,2,2,True
2976,64,5,1,000000000031501055,1,1,True
2977,64,5,1,SSW0K51614,1,1,True
2978,64,5,1,SSW0K51686,1,1,True
2979,64,5,1,SSW0K52073,2,2,True
2983,64,5,1,SSW0N27719,2,2,True
2981,64,5,1,PROC11105,2,2,True
2982,64,5,1,SSW0N26852,1,1,True
2972,64,5,1,000000000144002367,1,1,True
2984,64,5,1,SSW0N29425,1,1,True
2985,64,5,1,000000000067000739,1,1,True
2986,64,5,1,SPP0G98255,1,1,True
2987,64,5,1,SSW0Q43897,1,1,True
2980,64,5,1,PROC10806,2,2,True
2971,64,5,1,000000000031045785,1,1,True
2970,64,5,1,000000000031506282,1,1,True
2969,64,5,1,000000000031045784,2,2,True
2968,64,5,1,SM50F76959,2,2,True
2967,64,5,1,000000000025216222,1,1,True
2966,64,5,1,PROC6222,2,2,True
2965,64,5,1,PROC11021,1,1,True
2964,64,5,1,SD50H32698,2,2,True
2963,64,5,1,SSW0K51574,1,1,True
2302,65,4,3,000000000031503454,2,6,True
2303,65,4,3,PROC9321,2,6,True
2304,65,4,3,SP10K29485,1,3,True
2282,65,4,3,SSW0F82867,1,3,True
2305,65,4,3,PROC11104,1,3,True
2306,65,4,3,PROC3420,2,6,True
2315,65,4,3,SSW0Q43526,1,3,True
2311,65,4,3,PROC10209,1,3,True
2313,65,4,3,PROC12801,2,6,True
2312,65,4,3,SSW0N29422,1,3,True
2301,65,4,3,PROC7704,2,6,True
2310,65,4,3,PROC13209,1,3,True
2309,65,4,3,PROC14102,2,6,True
2308,65,4,3,SPP0M26744,2,6,True
2307,65,4,3,cdb_49000017,2,6,True
2314,65,4,3,SL10F25678,1,3,True
2300,65,4,3,SM20H54473,2,6,True
2294,65,4,3,SD50H32650,1,3,True
2298,65,4,3,000000000031502214,1,3,True
2299,65,4,3,SDM0K33193,1,3,True
2291,65,4,3,PROC6914,1,3,True
2290,65,4,3,PROC3420,2,6,True
2288,65,4,3,SSW0K51131,2,6,True
2287,65,4,3,SSW0G44671,1,3,True
2286,65,4,3,SSW0G44390,1,3,True
2285,65,4,3,000000000031045653,1,3,True
2289,65,4,3,000000000031038890,1,3,True
2283,65,4,3,SSW0F75749,2,6,True
2292,65,4,3,PROC9321,2,6,True
2293,65,4,3,PROC12008,1,3,True
2295,65,4,3,PROC14101,2,6,True
2296,65,4,3,000000000031034561,1,3,True
2284,65,4,3,SSW0G45194,1,3,True
2297,65,4,3,PROC3726,1,3,True
1680,66,2,3,PROC11611,2,6,True
1679,66,2,3,000000000031503244,2,6,True
1678,66,2,3,000000000031503243,2,6,True
1677,66,2,3,000000000031034774,2,6,True
1673,66,2,3,cdb_50000007,2,6,True
1675,66,2,3,PROC10001,1,3,True
1674,66,2,3,cdb_47000131,1,3,True
1681,66,2,3,PROC8211,1,3,True
1676,66,2,3,PROC13101,1,3,True
1682,66,2,3,PROC8214,2,6,True
1690,66,2,3,PROC11106,1,3,True
1684,66,2,3,PROC8345,1,3,True
1685,66,2,3,SM20H54472,1,3,True
1686,66,2,3,000000000031503455,2,6,True
1687,66,2,3,000000000031503456,2,6,True
1688,66,2,3,SPP0J33159,2,6,True
1689,66,2,3,SPP0M26744,1,3,True
1691,66,2,3,PROC10958,1,3,True
1692,66,2,3,SSW0Q44609,2,6,True
1693,66,2,3,PROC10219,1,3,True
1694,66,2,3,PROC10938,2,6,True
1683,66,2,3,SPP0J33247,1,3,True
1672,66,2,3,000000000031042062,1,3,True
1666,66,2,3,000000000000011977,1,3,True
1670,66,2,3,SSW0G44017,1,3,True
1667,66,2,3,SSW0G44678,1,3,True
1671,66,2,3,SSW0L47695,2,6,True
1669,66,2,3,SSW0G42868,1,3,True
1668,66,2,3,SSW0F63159,2,6,True
527,67,1,3,000000000031503985,1,3,True
528,67,1,3,PROC10204,2,6,True
529,67,1,3,000000000031034776,1,3,True
530,67,1,3,PROC2237,1,3,True
531,67,1,3,PROC7029,1,3,True
532,67,1,3,000000000031045548,2,6,True
533,67,1,3,000000000031045550,2,6,True
534,67,1,3,000000000031034609,1,3,True
535,67,1,3,000000000067000739,1,3,True
536,67,1,3,PROC2802,1,3,True
537,67,1,3,000000000031037296,1,3,True
538,67,1,3,SP10G00161,1,3,True
539,67,1,3,PROC8213,2,6,True
540,67,1,3,SL10F25678,1,3,True
542,67,1,3,PROC8215,2,6,True
543,67,1,3,SA70K11490,2,6,True
544,67,1,3,PROC1811,1,3,True
545,67,1,3,PROC9106,2,6,True
546,67,1,3,SSW0K51546,2,6,True
547,67,1,3,SPP0G54610,1,3,True
548,67,1,3,PROC9203,2,6,True
549,67,1,3,PROC12008,1,3,True
550,67,1,3,SSW0N27927,2,6,True
551,67,1,3,SSW0N29515,1,3,True
552,67,1,3,SPP0G98370,1,3,True
553,67,1,3,PROC1811,2,6,True
554,67,1,3,PROC10224,1,3,True
541,67,1,3,SPP0G54600,1,3,True
525,67,1,3,000000000031028776,1,3,True
526,67,1,3,000000000031040179,2,6,True
523,67,1,3,SSW0K51575,1,3,True
518,67,1,3,000000000000008820,1,3,True
519,67,1,3,SSW0G43707,2,6,True
524,67,1,3,SSW0G44392,2,6,True
521,67,1,3,SSW0G44670,1,3,True
522,67,1,3,SSW0K51133,2,6,True
520,67,1,3,SSW0G44348,2,6,True
1105,68,3,3,PROC10338,2,6,True
1104,68,3,3,SSW0N28641,2,6,True
1103,68,3,3,000000000067001143,1,3,True
1100,68,3,3,SPP0K08480,1,3,True
1099,68,3,3,PROC3410,1,3,True
1098,68,3,3,SSW0K51935,2,6,True
1097,68,3,3,SPP0G99675,2,6,True
1096,68,3,3,PROC9107,1,3,True
1095,68,3,3,SPP0G54625,2,6,True
1094,68,3,3,000000000031501056,2,6,True
1093,68,3,3,cdb_04000018,2,6,True
1092,68,3,3,000000000031028400,2,6,True
1091,68,3,3,PROC7033,1,3,True
1090,68,3,3,PROC7109,1,3,True
1106,68,3,3,SSW0L97271,2,6,True
1087,68,3,3,000000000031045549,1,3,True
1086,68,3,3,PROC13209,2,6,True
1085,68,3,3,SD50H32746,1,3,True
1084,68,3,3,cdb_49000017,1,3,True
1083,68,3,3,SL60K75022,1,3,True
1082,68,3,3,SSW0G44585,2,6,True
1081,68,3,3,SSW0G44351,1,3,True
1080,68,3,3,SSW0P20662,1,3,True
1079,68,3,3,SSW0G44953,1,3,True
1078,68,3,3,SSW0G44836,1,3,True
1077,68,3,3,SSW0G42871,1,3,True
1089,68,3,3,SPP0H55681,1,3,True
1088,68,3,3,PROC7320,1,3,True
1101,68,3,3,SPP0H55681,1,3,True
1102,68,3,3,SPP0H55684,2,6,True
1122,69,3,1,000000000031028400,2,2,True
1136,69,3,1,SSW0L97271,2,2,True
1135,69,3,1,PROC10338,2,2,True
1134,69,3,1,SSW0N28641,2,2,True
1107,69,3,1,SSW0G42871,1,1,True
1108,69,3,1,SSW0G44836,1,1,True
1109,69,3,1,SSW0G44953,1,1,True
1110,69,3,1,SSW0P20662,1,1,True
1111,69,3,1,SSW0G44351,1,1,True
1112,69,3,1,SSW0G44585,2,2,True
1113,69,3,1,SL60K75022,1,1,True
1114,69,3,1,cdb_49000017,1,1,True
1116,69,3,1,PROC13209,2,2,True
1117,69,3,1,000000000031045549,1,1,True
1115,69,3,1,SD50H32746,1,1,True
1119,69,3,1,SPP0H55681,1,1,True
1124,69,3,1,000000000031501056,2,2,True
1125,69,3,1,SPP0G54625,2,2,True
1126,69,3,1,PROC9107,1,1,True
1118,69,3,1,PROC7320,1,1,True
1128,69,3,1,SSW0K51935,2,2,True
1129,69,3,1,PROC3410,1,1,True
1127,69,3,1,SPP0G99675,2,2,True
1131,69,3,1,SPP0H55681,1,1,True
1132,69,3,1,SPP0H55684,2,2,True
1123,69,3,1,cdb_04000018,2,2,True
1133,69,3,1,000000000067001143,1,1,True
1121,69,3,1,PROC7033,1,1,True
1120,69,3,1,PROC7109,1,1,True
1130,69,3,1,SPP0K08480,1,1,True
1137,70,3,2,SSW0G42871,1,2,True
1138,70,3,2,SSW0G44836,1,2,True
1139,70,3,2,SSW0G44953,1,2,True
1140,70,3,2,SSW0P20662,1,2,True
1141,70,3,2,SSW0G44351,1,2,True
1142,70,3,2,SSW0G44585,2,4,True
1156,70,3,2,PROC9107,1,2,True
1157,70,3,2,SPP0G99675,2,4,True
1154,70,3,2,000000000031501056,2,4,True
1146,70,3,2,PROC13209,2,4,True
1147,70,3,2,000000000031045549,1,2,True
1148,70,3,2,PROC7320,1,2,True
1149,70,3,2,SPP0H55681,1,2,True
1150,70,3,2,PROC7109,1,2,True
1151,70,3,2,PROC7033,1,2,True
1152,70,3,2,000000000031028400,2,4,True
1153,70,3,2,cdb_04000018,2,4,True
1155,70,3,2,SPP0G54625,2,4,True
1166,70,3,2,SSW0L97271,2,4,True
1143,70,3,2,SL60K75022,1,2,True
1165,70,3,2,PROC10338,2,4,True
1164,70,3,2,SSW0N28641,2,4,True
1144,70,3,2,cdb_49000017,1,2,True
1163,70,3,2,000000000067001143,1,2,True
1162,70,3,2,SPP0H55684,2,4,True
1161,70,3,2,SPP0H55681,1,2,True
1160,70,3,2,SPP0K08480,1,2,True
1159,70,3,2,PROC3410,1,2,True
1158,70,3,2,SSW0K51935,2,4,True
1145,70,3,2,SD50H32746,1,2,True
2345,71,4,2,PROC10209,1,2,True
2349,71,4,2,SSW0Q43526,1,2,True
2348,71,4,2,SL10F25678,1,2,True
2347,71,4,2,PROC12801,2,4,True
2346,71,4,2,SSW0N29422,1,2,True
2316,71,4,2,SSW0F82867,1,2,True
2343,71,4,2,PROC14102,2,4,True
2342,71,4,2,SPP0M26744,2,4,True
2317,71,4,2,SSW0F75749,2,4,True
2318,71,4,2,SSW0G45194,1,2,True
2319,71,4,2,000000000031045653,1,2,True
2320,71,4,2,SSW0G44390,1,2,True
2321,71,4,2,SSW0G44671,1,2,True
2322,71,4,2,SSW0K51131,2,4,True
2324,71,4,2,PROC3420,2,4,True
2325,71,4,2,PROC6914,1,2,True
2327,71,4,2,PROC12008,1,2,True
2328,71,4,2,SD50H32650,1,2,True
2329,71,4,2,PROC14101,2,4,True
2330,71,4,2,000000000031034561,1,2,True
2331,71,4,2,PROC3726,1,2,True
2332,71,4,2,000000000031502214,1,2,True
2333,71,4,2,SDM0K33193,1,2,True
2334,71,4,2,SM20H54473,2,4,True
2335,71,4,2,PROC7704,2,4,True
2336,71,4,2,000000000031503454,2,4,True
2337,71,4,2,PROC9321,2,4,True
2338,71,4,2,SP10K29485,1,2,True
2339,71,4,2,PROC11104,1,2,True
2340,71,4,2,PROC3420,2,4,True
2341,71,4,2,cdb_49000017,2,4,True
2344,71,4,2,PROC13209,1,2,True
2323,71,4,2,000000000031038890,1,2,True
2326,71,4,2,PROC9321,2,4,True
1183,72,3,1,cdb_04000018,2,2,True
1187,72,3,1,SPP0G99675,2,2,True
1186,72,3,1,PROC9107,1,1,True
1185,72,3,1,SPP0G54625,2,2,True
1184,72,3,1,000000000031501056,2,2,True
1171,72,3,1,SSW0G44351,1,1,True
1182,72,3,1,000000000031028400,2,2,True
1188,72,3,1,SSW0K51935,2,2,True
1181,72,3,1,PROC7033,1,1,True
1179,72,3,1,SPP0H55681,1,1,True
1178,72,3,1,PROC7320,1,1,True
1177,72,3,1,000000000031045549,1,1,True
1176,72,3,1,PROC13209,2,2,True
1175,72,3,1,SD50H32746,1,1,True
1174,72,3,1,cdb_49000017,1,1,True
1180,72,3,1,PROC7109,1,1,True
1173,72,3,1,SL60K75022,1,1,True
1189,72,3,1,PROC3410,1,1,True
1191,72,3,1,SPP0H55681,1,1,True
1167,72,3,1,SSW0G42871,1,1,True
1190,72,3,1,SPP0K08480,1,1,True
1169,72,3,1,SSW0G44953,1,1,True
1170,72,3,1,SSW0P20662,1,1,True
1168,72,3,1,SSW0G44836,1,1,True
1195,72,3,1,PROC10338,2,2,True
1194,72,3,1,SSW0N28641,2,2,True
1193,72,3,1,000000000067001143,1,1,True
1192,72,3,1,SPP0H55684,2,2,True
1196,72,3,1,SSW0L97271,2,2,True
1172,72,3,1,SSW0G44585,2,2,True
2375,73,4,3,cdb_49000017,2,6,True
2374,73,4,3,PROC3420,2,6,True
2373,73,4,3,PROC11104,1,3,True
2372,73,4,3,SP10K29485,1,3,True
2351,73,4,3,SSW0F75749,2,6,True
2371,73,4,3,PROC9321,2,6,True
2376,73,4,3,SPP0M26744,2,6,True
2377,73,4,3,PROC14102,2,6,True
2378,73,4,3,PROC13209,1,3,True
2379,73,4,3,PROC10209,1,3,True
2380,73,4,3,SSW0N29422,1,3,True
2381,73,4,3,PROC12801,2,6,True
2382,73,4,3,SL10F25678,1,3,True
2383,73,4,3,SSW0Q43526,1,3,True
2370,73,4,3,000000000031503454,2,6,True
2352,73,4,3,SSW0G45194,1,3,True
2353,73,4,3,000000000031045653,1,3,True
2350,73,4,3,SSW0F82867,1,3,True
2355,73,4,3,SSW0G44671,1,3,True
2354,73,4,3,SSW0G44390,1,3,True
2369,73,4,3,PROC7704,2,6,True
2368,73,4,3,SM20H54473,2,6,True
2367,73,4,3,SDM0K33193,1,3,True
2366,73,4,3,000000000031502214,1,3,True
2365,73,4,3,PROC3726,1,3,True
2363,73,4,3,PROC14101,2,6,True
2364,73,4,3,000000000031034561,1,3,True
2361,73,4,3,PROC12008,1,3,True
2360,73,4,3,PROC9321,2,6,True
2359,73,4,3,PROC6914,1,3,True
2358,73,4,3,PROC3420,2,6,True
2357,73,4,3,000000000031038890,1,3,True
2356,73,4,3,SSW0K51131,2,6,True
2362,73,4,3,SD50H32650,1,3,True
2404,74,4,4,000000000031503454,2,8,True
2400,74,4,4,000000000031502214,1,4,True
2401,74,4,4,SDM0K33193,1,4,True
2402,74,4,4,SM20H54473,2,8,True
2403,74,4,4,PROC7704,2,8,True
2405,74,4,4,PROC9321,2,8,True
2412,74,4,4,PROC13209,1,4,True
2407,74,4,4,PROC11104,1,4,True
2408,74,4,4,PROC3420,2,8,True
2409,74,4,4,cdb_49000017,2,8,True
2410,74,4,4,SPP0M26744,2,8,True
2411,74,4,4,PROC14102,2,8,True
2399,74,4,4,PROC3726,1,4,True
2413,74,4,4,PROC10209,1,4,True
2406,74,4,4,SP10K29485,1,4,True
2398,74,4,4,000000000031034561,1,4,True
2395,74,4,4,PROC12008,1,4,True
2396,74,4,4,SD50H32650,1,4,True
2384,74,4,4,SSW0F82867,1,4,True
2385,74,4,4,SSW0F75749,2,8,True
2386,74,4,4,SSW0G45194,1,4,True
2387,74,4,4,000000000031045653,1,4,True
2388,74,4,4,SSW0G44390,1,4,True
2389,74,4,4,SSW0G44671,1,4,True
2397,74,4,4,PROC14101,2,8,True
2390,74,4,4,SSW0K51131,2,8,True
2392,74,4,4,PROC3420,2,8,True
2393,74,4,4,PROC6914,1,4,True
2394,74,4,4,PROC9321,2,8,True
2417,74,4,4,SSW0Q43526,1,4,True
2416,74,4,4,SL10F25678,1,4,True
2415,74,4,4,PROC12801,2,8,True
2414,74,4,4,SSW0N29422,1,4,True
2391,74,4,4,000000000031038890,1,4,True
590,75,1,3,PROC1811,2,6,True
591,75,1,3,PROC10224,1,3,True
589,75,1,3,SPP0G98370,1,3,True
556,75,1,3,SSW0G43707,2,6,True
587,75,1,3,SSW0N27927,2,6,True
557,75,1,3,SSW0G44348,2,6,True
558,75,1,3,SSW0G44670,1,3,True
559,75,1,3,SSW0K51133,2,6,True
560,75,1,3,SSW0K51575,1,3,True
561,75,1,3,SSW0G44392,2,6,True
562,75,1,3,000000000031028776,1,3,True
563,75,1,3,000000000031040179,2,6,True
564,75,1,3,000000000031503985,1,3,True
565,75,1,3,PROC10204,2,6,True
555,75,1,3,000000000000008820,1,3,True
588,75,1,3,SSW0N29515,1,3,True
566,75,1,3,000000000031034776,1,3,True
567,75,1,3,PROC2237,1,3,True
568,75,1,3,PROC7029,1,3,True
569,75,1,3,000000000031045548,2,6,True
571,75,1,3,000000000031034609,1,3,True
572,75,1,3,000000000067000739,1,3,True
570,75,1,3,000000000031045550,2,6,True
576,75,1,3,PROC8213,2,6,True
578,75,1,3,SPP0G54600,1,3,True
579,75,1,3,PROC8215,2,6,True
580,75,1,3,SA70K11490,2,6,True
581,75,1,3,PROC1811,1,3,True
582,75,1,3,PROC9106,2,6,True
577,75,1,3,SL10F25678,1,3,True
584,75,1,3,SPP0G54610,1,3,True
585,75,1,3,PROC9203,2,6,True
586,75,1,3,PROC12008,1,3,True
575,75,1,3,SP10G00161,1,3,True
573,75,1,3,PROC2802,1,3,True
574,75,1,3,000000000031037296,1,3,True
583,75,1,3,SSW0K51546,2,6,True
2443,76,4,1,cdb_49000017,2,2,True
2444,76,4,1,SPP0M26744,2,2,True
2445,76,4,1,PROC14102,2,2,True
2446,76,4,1,PROC13209,1,1,True
2449,76,4,1,PROC12801,2,2,True
2448,76,4,1,SSW0N29422,1,1,True
2450,76,4,1,SL10F25678,1,1,True
2451,76,4,1,SSW0Q43526,1,1,True
2442,76,4,1,PROC3420,2,2,True
2447,76,4,1,PROC10209,1,1,True
2441,76,4,1,PROC11104,1,1,True
2438,76,4,1,000000000031503454,2,2,True
2439,76,4,1,PROC9321,2,2,True
2418,76,4,1,SSW0F82867,1,1,True
2419,76,4,1,SSW0F75749,2,2,True
2420,76,4,1,SSW0G45194,1,1,True
2421,76,4,1,000000000031045653,1,1,True
2422,76,4,1,SSW0G44390,1,1,True
2423,76,4,1,SSW0G44671,1,1,True
2424,76,4,1,SSW0K51131,2,2,True
2425,76,4,1,000000000031038890,1,1,True
2426,76,4,1,PROC3420,2,2,True
2427,76,4,1,PROC6914,1,1,True
2428,76,4,1,PROC9321,2,2,True
2429,76,4,1,PROC12008,1,1,True
2431,76,4,1,PROC14101,2,2,True
2432,76,4,1,000000000031034561,1,1,True
2433,76,4,1,PROC3726,1,1,True
2434,76,4,1,000000000031502214,1,1,True
2435,76,4,1,SDM0K33193,1,1,True
2436,76,4,1,SM20H54473,2,2,True
2437,76,4,1,PROC7704,2,2,True
2440,76,4,1,SP10K29485,1,1,True
2430,76,4,1,SD50H32650,1,1,True
620,77,1,1,SSW0K51546,2,2,True
593,77,1,1,SSW0G43707,2,2,True
610,77,1,1,PROC2802,1,1,True
609,77,1,1,000000000067000739,1,1,True
608,77,1,1,000000000031034609,1,1,True
606,77,1,1,000000000031045548,2,2,True
605,77,1,1,PROC7029,1,1,True
604,77,1,1,PROC2237,1,1,True
603,77,1,1,000000000031034776,1,1,True
602,77,1,1,PROC10204,2,2,True
601,77,1,1,000000000031503985,1,1,True
600,77,1,1,000000000031040179,2,2,True
599,77,1,1,000000000031028776,1,1,True
598,77,1,1,SSW0G44392,2,2,True
597,77,1,1,SSW0K51575,1,1,True
596,77,1,1,SSW0K51133,2,2,True
595,77,1,1,SSW0G44670,1,1,True
594,77,1,1,SSW0G44348,2,2,True
592,77,1,1,000000000000008820,1,1,True
611,77,1,1,000000000031037296,1,1,True
612,77,1,1,SP10G00161,1,1,True
607,77,1,1,000000000031045550,2,2,True
614,77,1,1,SL10F25678,1,1,True
628,77,1,1,PROC10224,1,1,True
613,77,1,1,PROC8213,2,2,True
626,77,1,1,SPP0G98370,1,1,True
625,77,1,1,SSW0N29515,1,1,True
624,77,1,1,SSW0N27927,2,2,True
623,77,1,1,PROC12008,1,1,True
622,77,1,1,PROC9203,2,2,True
627,77,1,1,PROC1811,2,2,True
619,77,1,1,PROC9106,2,2,True
618,77,1,1,PROC1811,1,1,True
617,77,1,1,SA70K11490,2,2,True
616,77,1,1,PROC8215,2,2,True
615,77,1,1,SPP0G54600,1,1,True
621,77,1,1,SPP0G54610,1,1,True
1710,78,2,2,PROC8211,1,2,True
1701,78,2,2,000000000031042062,1,2,True
1702,78,2,2,cdb_50000007,2,4,True
1703,78,2,2,cdb_47000131,1,2,True
1704,78,2,2,PROC10001,1,2,True
1705,78,2,2,PROC13101,1,2,True
1706,78,2,2,000000000031034774,2,4,True
1713,78,2,2,PROC8345,1,2,True
1708,78,2,2,000000000031503244,2,4,True
1709,78,2,2,PROC11611,2,4,True
1712,78,2,2,SPP0J33247,1,2,True
1711,78,2,2,PROC8214,2,4,True
1700,78,2,2,SSW0L47695,2,4,True
1707,78,2,2,000000000031503243,2,4,True
1699,78,2,2,SSW0G44017,1,2,True
1721,78,2,2,SSW0Q44609,2,4,True
1723,78,2,2,PROC10938,2,4,True
1698,78,2,2,SSW0G42868,1,2,True
1696,78,2,2,SSW0G44678,1,2,True
1697,78,2,2,SSW0F63159,2,4,True
1714,78,2,2,SM20H54472,1,2,True
1715,78,2,2,000000000031503455,2,4,True
1716,78,2,2,000000000031503456,2,4,True
1695,78,2,2,000000000000011977,1,2,True
1718,78,2,2,SPP0M26744,1,2,True
1719,78,2,2,PROC11106,1,2,True
1720,78,2,2,PROC10958,1,2,True
1722,78,2,2,PROC10219,1,2,True
1717,78,2,2,SPP0J33159,2,4,True
652,79,1,1,SPP0G54600,1,1,False
653,79,1,1,PROC8215,2,2,False
654,79,1,1,SA70K11490,2,2,False
655,79,1,1,PROC1811,1,1,False
656,79,1,1,PROC9106,2,2,False
657,79,1,1,SSW0K51546,2,2,False
660,79,1,1,PROC12008,1,1,True
659,79,1,1,PROC9203,2,2,False
661,79,1,1,SSW0N27927,2,2,False
662,79,1,1,SSW0N29515,1,1,False
664,79,1,1,PROC1811,2,2,False
663,79,1,1,SPP0G98370,1,1,False
651,79,1,1,SL10F25678,1,1,True
658,79,1,1,SPP0G54610,1,1,False
650,79,1,1,PROC8213,2,2,False
632,79,1,1,SSW0G44670,1,1,False
648,79,1,1,000000000031037296,1,1,False
647,79,1,1,PROC2802,1,1,False
646,79,1,1,000000000067000739,1,1,True
645,79,1,1,000000000031034609,1,1,False
644,79,1,1,000000000031045550,2,2,False
643,79,1,1,000000000031045548,2,2,False
642,79,1,1,PROC7029,1,1,False
641,79,1,1,PROC2237,1,1,False
640,79,1,1,000000000031034776,1,1,False
639,79,1,1,PROC10204,2,2,False
638,79,1,1,000000000031503985,1,1,False
637,79,1,1,000000000031040179,2,2,False
665,79,1,1,PROC10224,1,1,False
634,79,1,1,SSW0K51575,1,1,False
649,79,1,1,SP10G00161,1,1,False
633,79,1,1,SSW0K51133,2,2,False
636,79,1,1,000000000031028776,1,1,False
631,79,1,1,SSW0G44348,2,2,False
630,79,1,1,SSW0G43707,2,2,False
629,79,1,1,000000000000008820,1,1,False
635,79,1,1,SSW0G44392,2,2,False
